path,package_or_target,target_kind,source_kind,role,line_count,imports,major_types,implemented_responsibility,migration_leftover_count,migration_leftovers,cleanup_notes,test_coverage_signal,repo_skill_alignment,general_best_practice_alignment,risk_level,print_count,logger_calls_inside_debug_count,task_detached_count,userdefaults_did_change_count,geometry_reader_count,public_declaration_count,public_doc_comment_count
Packages/EnsembleAPI/Sources/Client/PlexAPIClient+Downloads.swift,EnsembleAPI,Package,Sources,"Plex networking client, endpoint routing, failover, and transport helpers",361,Foundation,extension PlexAPIClient,"Provides Plex APIClient extension for Downloads support for plex networking client, endpoint routing, failover, and transport helpers.",1,L67: /// Download a universal transcode stream to a temporary file and return the file URL.,Triage legacy/migration/deprecated markers before new work in this area. | Move diagnostic logger calls out from #if DEBUG unless surrounding code must be debug-only.,No obvious direct package test signal found by static name/content scan.,Matches architecture networking layer. Needs logging-policy review: logger calls appear inside #if DEBUG. Contains migration/legacy/cleanup markers for follow-up triage.,No print usage found. Public declarations appear documented by immediate doc comments.,high,0,11,0,0,0,3,3
Packages/EnsembleAPI/Sources/Client/PlexAPIClient+Library.swift,EnsembleAPI,Package,Sources,"Plex networking client, endpoint routing, failover, and transport helpers",405,Foundation,extension PlexAPIClient,"Provides Plex APIClient extension for Library support for plex networking client, endpoint routing, failover, and transport helpers.",0,,Move diagnostic logger calls out from #if DEBUG unless surrounding code must be debug-only.,No obvious direct package test signal found by static name/content scan.,Matches architecture networking layer. Needs logging-policy review: logger calls appear inside #if DEBUG.,No print usage found. Public declarations appear documented by immediate doc comments.,high,0,4,0,0,0,27,27
Packages/EnsembleAPI/Sources/Client/PlexAPIClient+Metadata.swift,EnsembleAPI,Package,Sources,"Plex networking client, endpoint routing, failover, and transport helpers",132,Foundation,extension PlexAPIClient,"Provides Plex APIClient extension for Metadata support for plex networking client, endpoint routing, failover, and transport helpers.",0,,Move diagnostic logger calls out from #if DEBUG unless surrounding code must be debug-only.,No obvious direct package test signal found by static name/content scan.,Matches architecture networking layer. Needs logging-policy review: logger calls appear inside #if DEBUG.,No print usage found. Public declarations appear documented by immediate doc comments.,high,0,7,0,0,0,7,7
Packages/EnsembleAPI/Sources/Client/PlexAPIClient+Playback.swift,EnsembleAPI,Package,Sources,"Plex networking client, endpoint routing, failover, and transport helpers",595,Foundation,extension PlexAPIClient,"Provides Plex APIClient extension for Playback support for plex networking client, endpoint routing, failover, and transport helpers.",2,L530: // MARK: - Legacy Playback URLs | L532: /// Generate streaming URL for a track (legacy direct file access).,Triage legacy/migration/deprecated markers before new work in this area. | Move diagnostic logger calls out from #if DEBUG unless surrounding code must be debug-only.,No obvious direct package test signal found by static name/content scan.,Matches architecture networking layer. Needs logging-policy review: logger calls appear inside #if DEBUG. Contains migration/legacy/cleanup markers for follow-up triage.,No print usage found. Public declarations appear documented by immediate doc comments.,high,0,36,0,0,0,10,10
Packages/EnsembleAPI/Sources/Client/PlexAPIClient+Playlists.swift,EnsembleAPI,Package,Sources,"Plex networking client, endpoint routing, failover, and transport helpers",148,Foundation,extension PlexAPIClient,"Provides Plex APIClient extension for Playlists support for plex networking client, endpoint routing, failover, and transport helpers.",0,,Move diagnostic logger calls out from #if DEBUG unless surrounding code must be debug-only.,No obvious direct package test signal found by static name/content scan.,Matches architecture networking layer. Needs logging-policy review: logger calls appear inside #if DEBUG.,No print usage found. Public declarations appear documented by immediate doc comments.,high,0,6,0,0,0,12,12
Packages/EnsembleAPI/Sources/Client/PlexAPIClient.swift,EnsembleAPI,Package,Sources,"Plex networking client, endpoint routing, failover, and transport helpers",1169,Foundation; UIKit,enum PlexAPIError; enum StreamingQuality; struct ProgressiveStreamConfig; enum StreamResolution; struct TranscodeDecisionResult; enum Decision; enum StreamDecision; struct TranscodeStreamDecision; struct PlexServerConnection; struct PlexLibrarySelection; struct PlexMetadataFieldUpdate; actor PlexAPIClient; enum DownloadQueueError; struct DownloadQueueEnvelope; struct DownloadQueueMediaContainer; struct DownloadQueueRecord,"Implements PlexAPIError, StreamingQuality, ProgressiveStreamConfig, StreamResolution for plex networking client, endpoint routing, failover, and transport helpers.",0,,Large file: audit for nested helpers or policy seams that can move to existing shared owners. | Move diagnostic logger calls out from #if DEBUG unless surrounding code must be debug-only.,"Obvious related tests: Packages/EnsembleAPI/Tests/PlexAPIClientFailoverPolicyTests.swift, Packages/EnsembleAPI/Tests/PlexAPIClientTests.swift, Packages/EnsembleCore/Tests/DownloadTransferExecutorTests.swift, Packages/EnsembleCore/Tests/MetadataMutationServiceTests.swift (+5 more).",Matches architecture networking layer. Needs logging-policy review: logger calls appear inside #if DEBUG.,No print usage found. Public API documentation appears incomplete (22/54 declarations with immediate doc comments). Large file; review cohesive type/extension boundaries over time.,high,0,69,0,0,0,54,22
Packages/EnsembleAPI/Sources/Client/PlexConnectionPolicy.swift,EnsembleAPI,Package,Sources,"Plex networking client, endpoint routing, failover, and transport helpers",211,Foundation,enum ConnectionSelectionPolicy; enum AllowInsecureConnectionsPolicy; enum PlexEndpointClass; struct PlexEndpointDescriptor; struct PlexEndpointOrderingResult; enum PlexEndpointPolicy; enum ConnectionProbeFailureCategory; struct ConnectionProbeResult; struct ConnectionSelectionResult; struct ConnectionRefreshResult; enum RefreshOutcome; enum NetworkReachabilityContext,"Implements ConnectionSelectionPolicy, AllowInsecureConnectionsPolicy, PlexEndpointClass, PlexEndpointDescriptor for plex networking client, endpoint routing, failover, and transport helpers.",0,,No immediate cleanup note from static scan; revisit when touching related behavior.,"Obvious related tests: Packages/EnsembleAPI/Tests/ConnectionFailoverManagerTests.swift, Packages/EnsembleCore/Tests/PlexAccountDiscoveryServiceTests.swift, Packages/EnsembleCore/Tests/ServerConnectionControllerTests.swift.",Matches architecture networking layer.,No print usage found. Public API documentation appears incomplete (6/39 declarations with immediate doc comments).,low,0,0,0,0,0,39,6
Packages/EnsembleAPI/Sources/Client/PlexErrorClassification.swift,EnsembleAPI,Package,Sources,"Plex networking client, endpoint routing, failover, and transport helpers",99,Foundation,enum PlexErrorClassification,"Implements PlexErrorClassification for plex networking client, endpoint routing, failover, and transport helpers.",0,,No immediate cleanup note from static scan; revisit when touching related behavior.,No obvious direct package test signal found by static name/content scan.,Matches architecture networking layer.,No print usage found. Public declarations appear documented by immediate doc comments.,low,0,0,0,0,0,4,4
Packages/EnsembleAPI/Sources/Client/PlexRequestBuilder.swift,EnsembleAPI,Package,Sources,"Plex networking client, endpoint routing, failover, and transport helpers",58,Foundation,struct PlexRequestHeaderContext; struct PlexRequestBuilder,"Implements PlexRequestHeaderContext, PlexRequestBuilder for plex networking client, endpoint routing, failover, and transport helpers.",0,,No immediate cleanup note from static scan; revisit when touching related behavior.,No obvious direct package test signal found by static name/content scan.,Matches architecture networking layer.,No print usage found. Naming/type structure generally follows Swift idioms from static inspection.,low,0,0,0,0,0,0,0
Packages/EnsembleAPI/Sources/Client/PlexWebSocketManager.swift,EnsembleAPI,Package,Sources,"Plex networking client, endpoint routing, failover, and transport helpers",473,Foundation; OSLog,enum PlexServerEvent; actor PlexWebSocketManager; struct PlexNotificationEnvelope; struct PlexNotificationContainer; struct PlexTimelineEntry; struct PlexActivityNotification; struct PlexActivityDetail; struct PlexReachabilityEntry; class WebSocketSessionDelegate,"Implements PlexServerEvent, PlexWebSocketManager, PlexNotificationEnvelope, PlexNotificationContainer for plex networking client, endpoint routing, failover, and transport helpers.",0,,Move diagnostic logger calls out from #if DEBUG unless surrounding code must be debug-only.,No obvious direct package test signal found by static name/content scan.,Matches architecture networking layer. Needs logging-policy review: logger calls appear inside #if DEBUG.,No print usage found. Public declarations appear documented by immediate doc comments.,high,0,6,0,0,0,7,7
Packages/EnsembleAPI/Sources/Client/ServerConnectionRegistry.swift,EnsembleAPI,Package,Sources,"Plex networking client, endpoint routing, failover, and transport helpers",118,Foundation; OSLog,enum EndpointUpdateSource; struct ServerEndpointState; actor ServerConnectionRegistry,"Implements EndpointUpdateSource, ServerEndpointState, ServerConnectionRegistry for plex networking client, endpoint routing, failover, and transport helpers.",0,,Move diagnostic logger calls out from #if DEBUG unless surrounding code must be debug-only.,"Obvious related tests: Packages/EnsembleCore/Tests/MusicSourceAccountDetailViewModelTests.swift, Packages/EnsembleCore/Tests/PlexWebSocketCoordinatorTests.swift, Packages/EnsembleCore/Tests/ServerConnectionControllerTests.swift.",Matches architecture networking layer. Needs logging-policy review: logger calls appear inside #if DEBUG.,No print usage found. Public API documentation appears incomplete (10/16 declarations with immediate doc comments).,low,0,1,0,0,0,16,10
Packages/EnsembleAPI/Sources/EnsembleAPI.swift,EnsembleAPI,Package,Sources,Networking package public exports and logging,8,,,Provides Ensemble API support for networking package public exports and logging.,0,,No immediate cleanup note from static scan; revisit when touching related behavior.,No obvious direct package test signal found by static name/content scan.,Matches architecture networking layer.,No print usage found. Naming/type structure generally follows Swift idioms from static inspection.,low,0,0,0,0,0,0,0
Packages/EnsembleAPI/Sources/EnsembleLogger.swift,EnsembleAPI,Package,Sources,Networking package public exports and logging,31,OSLog,enum EnsembleLogger,Implements EnsembleLogger for networking package public exports and logging.,0,,No immediate cleanup note from static scan; revisit when touching related behavior.,No obvious direct package test signal found by static name/content scan.,Matches architecture networking layer.,No print usage found. Public declarations appear documented by immediate doc comments.,low,0,0,0,0,0,1,1
Packages/EnsembleAPI/Sources/Models/PlexModels.swift,EnsembleAPI,Package,Sources,Plex API DTOs and decoding models,871,Foundation,struct PlexPIN; enum CodingKeys; struct PlexResourcesResponse; struct PlexDevice; struct PlexConnection; struct PlexMediaContainer; struct MediaContainerContent; enum CodingKeys; enum CodingKeys; struct PlexLibrarySection; struct PlexInventoryItem; struct PlexArtist; struct PlexAlbum; enum CodingKeys; struct PlexAlbumDetail; enum CodingKeys,"Implements PlexPIN, CodingKeys, PlexResourcesResponse, PlexDevice for plex api dtos and decoding models.",0,,Medium-large file: keep an eye on responsibility creep.,"Obvious related tests: Packages/EnsembleAPI/Tests/PlexAPIClientTests.swift, Packages/EnsembleCore/Tests/PlexAccountDiscoveryServiceTests.swift.",Matches architecture networking layer.,No print usage found. Public API documentation appears incomplete (14/280 declarations with immediate doc comments). Large file; review cohesive type/extension boundaries over time.,low,0,0,0,0,0,280,14
Packages/EnsembleAPI/Tests/ConnectionFailoverManagerTests.swift,EnsembleAPI,Package,Tests,Automated test coverage,360,XCTest,class ConnectionFailoverManagerTests; actor MockNetwork; enum Mode; actor DelayedHostNetwork; actor HostStatusNetwork,"Exercises ConnectionFailoverManagerTests, MockNetwork, Mode, DelayedHostNetwork behavior for regression coverage.",0,,No immediate cleanup note from static scan; revisit when touching related behavior.,This is a test file.,Aligned with testing skill by preserving package-level regression coverage.,No print usage found. Naming/type structure generally follows Swift idioms from static inspection.,low,0,0,0,0,0,0,0
Packages/EnsembleAPI/Tests/PlexAPIClientFailoverPolicyTests.swift,EnsembleAPI,Package,Tests,Automated test coverage,59,XCTest,class PlexAPIClientFailoverPolicyTests; class TestKeychain,"Exercises PlexAPIClientFailoverPolicyTests, TestKeychain behavior for regression coverage.",0,,No immediate cleanup note from static scan; revisit when touching related behavior.,This is a test file.,Aligned with testing skill by preserving package-level regression coverage.,No print usage found. Naming/type structure generally follows Swift idioms from static inspection.,low,0,0,0,0,0,0,0
Packages/EnsembleAPI/Tests/PlexAPIClientTests.swift,EnsembleAPI,Package,Tests,Automated test coverage,211,XCTest,class PlexAPIClientTests; class TestKeychain,"Exercises PlexAPIClientTests, TestKeychain behavior for regression coverage.",0,,No immediate cleanup note from static scan; revisit when touching related behavior.,This is a test file.,Aligned with testing skill by preserving package-level regression coverage.,No print usage found. Naming/type structure generally follows Swift idioms from static inspection.,low,0,0,0,0,0,0,0
Packages/EnsembleAPI/Tests/PlexAuthTokenLifecycleTests.swift,EnsembleAPI,Package,Tests,Automated test coverage,50,XCTest,class PlexAuthTokenLifecycleTests,Exercises PlexAuthTokenLifecycleTests behavior for regression coverage.,0,,No immediate cleanup note from static scan; revisit when touching related behavior.,This is a test file.,Aligned with testing skill by preserving package-level regression coverage.,No print usage found. Naming/type structure generally follows Swift idioms from static inspection.,low,0,0,0,0,0,0,0
Packages/EnsembleAPI/Tests/PlexPlaylistMutationModelsTests.swift,EnsembleAPI,Package,Tests,Automated test coverage,18,XCTest,class PlexPlaylistMutationModelsTests,Exercises PlexPlaylistMutationModelsTests behavior for regression coverage.,0,,No immediate cleanup note from static scan; revisit when touching related behavior.,This is a test file.,Aligned with testing skill by preserving package-level regression coverage.,No print usage found. Naming/type structure generally follows Swift idioms from static inspection.,low,0,0,0,0,0,0,0
Packages/EnsembleAPI/Tests/PlexResourcesSpecTests.swift,EnsembleAPI,Package,Tests,Automated test coverage,66,XCTest,class PlexResourcesSpecTests; class TestKeychain,"Exercises PlexResourcesSpecTests, TestKeychain behavior for regression coverage.",0,,No immediate cleanup note from static scan; revisit when touching related behavior.,This is a test file.,Aligned with testing skill by preserving package-level regression coverage.,No print usage found. Naming/type structure generally follows Swift idioms from static inspection.,low,0,0,0,0,0,0,0
Packages/EnsembleCore/Package.swift,EnsembleCore,Package,Package manifest,Swift package manifest and dependency/platform declaration,41,PackageDescription,,"Declares the EnsembleCore Swift package platforms, products, dependencies, targets, and tests.",0,,No immediate cleanup note from static scan; revisit when touching related behavior.,Covered indirectly by package build/test resolution.,Aligned with layered package architecture and iOS 15/macOS 12/watchOS 8 platform baseline.,No print usage found. Naming/type structure generally follows Swift idioms from static inspection.,low,0,0,0,0,0,0,0
Packages/EnsembleCore/Sources/DI/DependencyContainer.swift,EnsembleCore,Package,Sources,Dependency injection and cross-subsystem bootstrap wiring,1857,CloudKit; Combine; EnsembleAPI; EnsemblePersistence; Foundation; SwiftUI,class DependencyContainer; struct CoreBootstrap; struct NetworkBootstrap; struct SyncBootstrap; struct PlaybackBootstrap; struct MutationBootstrap; struct SiriBootstrap; struct DependencyContainerKey; extension EnvironmentValues,"Implements DependencyContainer, CoreBootstrap, NetworkBootstrap, SyncBootstrap for dependency injection and cross-subsystem bootstrap wiring.",1,L102: // MARK: - Legacy (kept for add-account flow),Large file: audit for nested helpers or policy seams that can move to existing shared owners. | Triage legacy/migration/deprecated markers before new work in this area.,Obvious related tests: Packages/EnsembleCore/Tests/DependencyContainerBootstrapStateTests.swift.,"Matches architecture business-logic layer. Contains migration/legacy/cleanup markers for follow-up triage. Oversized responsibility surface remains a skill-aligned cleanup candidate, not a behavior bug by itself.",No print usage found. Public API documentation appears incomplete (4/77 declarations with immediate doc comments). File size is far beyond common maintainability norms; prefer cohesive APIs and smaller responsibility boundaries.,medium,0,0,0,0,0,77,4
Packages/EnsembleCore/Sources/EnsembleCore.swift,EnsembleCore,Package,Sources,Core package public exports and logging,39,,enum AppOrientationNotifications; struct StageFlowRotationSupportChange,"Implements AppOrientationNotifications, StageFlowRotationSupportChange for core package public exports and logging.",0,,No immediate cleanup note from static scan; revisit when touching related behavior.,No obvious direct package test signal found by static name/content scan.,Matches architecture business-logic layer.,No print usage found. Public API documentation appears incomplete (2/6 declarations with immediate doc comments).,low,0,0,0,0,0,6,2
Packages/EnsembleCore/Sources/EnsembleLogger.swift,EnsembleCore,Package,Sources,Core package public exports and logging,62,OSLog,enum EnsembleStartupTiming; enum EnsembleLogger,"Implements EnsembleStartupTiming, EnsembleLogger for core package public exports and logging.",0,,Move diagnostic logger calls out from #if DEBUG unless surrounding code must be debug-only.,No obvious direct package test signal found by static name/content scan.,Matches architecture business-logic layer. Needs logging-policy review: logger calls appear inside #if DEBUG.,No print usage found. Public API documentation appears incomplete (1/2 declarations with immediate doc comments).,low,0,1,0,0,0,2,1
Packages/EnsembleCore/Sources/Models/ConnectionPolicy.swift,EnsembleCore,Package,Sources,"Domain models, mappers, source identity, filters, and app data contracts",33,EnsembleAPI; Foundation,extension AllowInsecureConnectionsPolicy,"Provides Connection Policy support for domain models, mappers, source identity, filters, and app data contracts.",0,,No immediate cleanup note from static scan; revisit when touching related behavior.,Obvious related tests: Packages/EnsembleCore/Tests/SettingsManagerConnectionPolicyTests.swift.,Matches architecture business-logic layer.,No print usage found. Naming/type structure generally follows Swift idioms from static inspection.,low,0,0,0,0,0,0,0
